,Path,/public/home/dsfeng/1_CrTe2/geoMAGMOMU1.5/1_strain/geo-8/1_321_J3,,,,,,,,,,,,,,,,,,,,,,,
Strain (%),-10,-8,-6,-4,-2,0,2,2.5,3,3.2,3.4,3.5,3.6,4,6,7,7.5,8,10,12,14,16,,,
EFM(eV),-91.20880312,-92.7495034,-93.86117539,-94.75124028,-95.31624942,-95.65141573,-95.76830258,-95.76387359,-95.74618174,-95.73534761,-95.72242764,-95.71777518,-95.70878115,-95.67352716,-95.38013309,-95.22167131,-95.13412037,-95.03388459,-94.63104249,-94.28978132,-93.8824157,-93.40700579,,,
EAFM1(eV),-92.30018117,-93.64096821,-94.5910358,-95.25711355,-95.64111091,-95.79352991,-95.74548108,-95.70277266,-95.64805412,-95.62258534,-95.5951398,-95.58638902,-95.56858951,-95.50591869,-95.02681121,-94.74951898,-94.62733088,-94.50212256,-94.01243552,-93.60988723,-93.17999185,-92.72999341,,,
EAFM2(eV),-92.62896347,-93.92495989,-94.83787151,-95.44330068,-95.78502695,-95.89797857,-95.81953132,-95.77053314,-95.71008571,-95.68244697,-95.65291806,-95.64376177,-95.62465383,-95.5583871,-95.06846232,-94.79438408,-94.67119052,-94.54287396,-94.0610393,-93.66665459,-93.23891907,-92.78836101,,,
EAFM3(eV),-92.30414713,-93.65718399,-94.62024556,-95.27883903,-95.6657486,-95.81955626,-95.77610103,-95.7350675,-95.68226919,-95.65760514,-95.63099501,-95.62310552,-95.605515,-95.54477121,-95.08352263,-94.82519939,-94.71214238,-94.59534389,-94.1436209,-93.76104258,-93.33964037,-92.88886408,,,
J1(eV),0.057384085,0.04707757,0.038409396,0.027757173,0.018963793,0.010482809,0.00298526,0.001258222,-0.000407724,-0.001062133,-0.001708852,-0.001928261,-0.00229931,-0.003521133,-0.011069522,-0.015683285,-0.017490141,-0.019143662,-0.024065327,-0.026751613,-0.027905215,-0.027181155,,,
J2(eV),-0.01191,-0.009933203,-0.007998546,-0.00667912,-0.005427897,-0.004561384,-0.003936156,-0.003804094,-0.003680927,-0.003636295,-0.003594808,-0.003546162,-0.003542009,-0.003462553,-0.003652223,-0.003989729,-0.003626088,-0.00301309,-0.001709963,-0.001577308,-0.001362445,-0.001027694,,,
J3(eV),0.014593894,0.012782879,0.011427959,0.008297136,0.006280804,0.004247349,0.002660062,0.002332983,0.002036511,0.001923204,0.001813738,0.001812716,0.001733016,0.001547999,0.000777083,0.000809204,0.000928184,0.001040418,0.002182755,0.002759306,0.003001729,0.003134128,,,
E0(eV),-15.38167112,-15.6080323,-15.76904566,-15.87999895,-15.94549167,-15.97240894,-15.96651126,-15.96000693,-15.95154054,-15.9475656,-15.94326817,-15.94197741,-15.93913862,-15.9292808,-15.85485486,-15.81368712,-15.79512259,-15.77563176,-15.70106281,-15.63825471,-15.56827149,-15.49261014,,,
J1(meV),57.38408528,47.07756972,38.40939611,27.75717278,18.96379278,10.48280861,2.985260278,1.258221944,-0.407723889,-1.062132778,-1.7088525,-1.928261389,-2.299309722,-3.521133333,-11.0695225,-15.683285,-17.49014083,-19.14366167,-24.06532694,-26.75161278,-27.90521528,-27.18115528,,,
J2(meV),-11.90999986,-9.933202639,-7.998545694,-6.679119861,-5.427897361,-4.561384444,-3.936156111,-3.804094028,-3.680926944,-3.636295139,-3.5948075,-3.546161944,-3.542008611,-3.462552917,-3.6522225,-3.98972875,-3.626087917,-3.013089583,-1.709963472,-1.577307639,-1.362445139,-1.027693889,,,
J3(meV),14.59389382,12.78287868,11.42795903,8.297135694,6.280803819,4.247349028,2.660061944,2.332982986,2.036510903,1.923204306,1.8137375,1.812715903,1.733015694,1.547999167,0.777083125,0.809204375,0.928183542,1.040417708,2.182754514,2.759306181,3.001728681,3.134128056,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
J1(K),295.5599192,242.4756383,197.8297285,142.9648605,97.67406826,53.99228813,15.37574891,6.480542024,-2.100004541,-5.470573879,-8.801539737,-9.931617409,-11.84272246,-18.13579285,-57.01419061,-80.77763069,-90.08394202,-98.60049295,-123.9498034,-137.7856678,-143.7273616,-139.9980503,,,
J2(K),-61.34311595,-51.16151204,-41.19695396,-34.40117791,-27.95668691,-23.49366399,-20.27339073,-19.59319763,-18.95881872,-18.72894013,-18.51525574,-18.2647041,-18.24331213,-17.83407116,-18.81097489,-20.54931958,-18.67636727,-15.51908529,-8.807261861,-8.124010622,-7.01734938,-5.293194469,,,
J3(K),75.16666089,65.8389268,58.86033787,42.73485835,32.349629,21.87620713,13.70079682,12.01615848,10.48916254,9.90557062,9.341755757,9.336493964,8.925993611,7.973055708,4.002409807,4.167852089,4.780660899,5.358729208,11.24239839,14.21195978,15.46057033,16.14250067,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
MAE,,,,,,,,,,,,,,,,,,,,,,,,,
"new caculation(Kpoint12_12_1, e-7)",,,,,,old,,,,,Cr Te total,,,,,,,,,,,,,,
,strain,Exx,Ezz,?E,,strain,Exx,Ezz,?E,,strain,Cr,Te,total,,,,,,,,,,,
,-10,-15.41293944,-15.41087568,-2.06376,,-10,-15.42401661,-15.42146901,-2.5476,,-10,-0.0006731,-0.0037841,-0.0044572,,,,,,,,,,,
,-8,-15.67374368,-15.67127243,-2.47125,,-8,-15.68392254,-15.68209958,-1.82296,,-8,-0.0004922,-0.0036119,-0.0041041,,,,,,,,,,,
,-6,-15.863961,-15.8618181,-2.1429,,-6,-15.87153177,-15.87043654,-1.09523,,-6,-0.0004091,-0.0033941,-0.0038032,,,,,,,,,,,
,-4,-16.01315578,-16.01024691,-2.90887,,-4,-16.01805679,-16.01624907,-1.80772,,-4,-4.43E-05,-0.0044392,-0.0044835,,,,,,,,,,,
,-2,-16.11066794,-16.10768877 ,-2.97917,,-2,-16.12286455,-16.12245480 ,-0.40975,,-2,7.46E-05,-0.0045258,-0.0044512,,,,,,,,,,,
,0,-16.17118728 ,-16.16907008,-2.1172,,0,-16.18916180 ,-16.18908532,-0.07648,,0,0.0001608,-0.0045574,-0.0043966,,,,,,,,,,,
,2,-16.19981885,-16.1984814,-1.33745,,2,-16.21832544,-16.21840259,0.07715,,2,0.0001973,-0.0035305,-0.0033332,,,,,,,,,,,
,3.2,-16.20320691,-16.20207321,-1.1337,,3.2,-16.21961769,-16.21958650 ,-0.03119,,3.2,0.0001914,-0.002797,-0.0026056,,,,,,,,,,,
,3.4,-16.20276121,-16.20168029,-1.08092,,3.4,-16.21869707,-16.21866533,-0.03174,,3.4,0.00019,-0.0026618,-0.0024718,,,,,,,,,,,
,3.6,-16.20157428,-16.20052247,-1.05181,,3.6,-16.21675575,-16.21668573,-0.07002,,3.6,0.0001874,-0.0024327,-0.0022453,,,,,,,,,,,
,4,-16.19920166,-16.19823308,-0.96858,,4,-16.21324024,-16.21310272,-0.13752,,4,0.0001823,-0.00207,-0.0018877,,,,,,,,,,,
,6,-16.17275669,-16.17292548,0.16879,,6,-16.18600600 ,-16.18574826,-0.25774,,6,0.0001314,0.0001881,0.0003195,,,,,,,,,,,
,7,-16.15244762,-16.15396643,1.51881,,7,-16.16510210 ,-16.16379374,-1.30836,,7,0.0001009,-0.0001194,-1.85E-05,,,,,,,,,,,
,7.5,-16.13500282,-16.13840594,3.40312,,7.5,-16.14483800 ,-16.1421056,-2.7324,,7.5,0.0001316,-0.0009299,-0.0007983,,,,,,,,,,,
,8,-16.12461848,-16.12846073,3.84225,,8,-16.13358557,-16.13091095,-2.67462,,8,0.0001601,-0.0006976,-0.0005375,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
旧的（不准）,,,,,,,,,,,,,,,,,,,,,,,,,
,Strain (%),-10,-8,-6,-5.5,-5,-4.5,-4,-3.5,-3,-2,0,2,3.2,3.4,3.6,4,6,7,7.5,8,10,12,14,16
,Cr,-0.000110442,-0.00 ,-0.00 ,-0.0012909,-0.0004463,-0.0004166,-0.00 ,0.0001215,0.0002331,2.05E-05,1.95E-05,1.76E-05,0.0001918,0.0001883,0.0001868,1.54E-05,7.60E-06,5.83E-05,-3.44E-05,-1.14E-05,1.30E-05,6.54E-05,9.80E-05,6.38E-05
,Te,-0.000337367,-0.00 ,-0.00 ,-0.0039784,-0.0041223,-0.0039564,-0.00 ,-0.0029301,-0.0024766,-0.000171583,-0.00013565,-0.000128308,-0.0017055,-0.0017456,-0.0017759,-0.000160725,-0.000172792,-0.0015154,-0.0017225,-0.00029755,-3.21E-05,-0.000134125,9.13E-05,-4.11E-05
,Total,-0.000447808,-0.00 ,-0.00 ,-0.0052693,-0.0045686,-0.004373,-0.00 ,-0.0028086,-0.0022435,-0.000151117,-0.00011615,-0.000110725,-0.0015137,-0.0015573,-0.0015891,-0.00014535,-0.000165192,-0.0014571,-0.0017569,-0.000308933,-1.91E-05,-6.87E-05,0.000189367,2.27E-05
,Cr,-0.110441667,-0.094541667,-0.085983333,-1.2909,-0.4463,-0.4166,-0.02885,0.1215,0.2331,0.020466667,0.0195,0.017583333,0.1918,0.1883,0.1868,0.015375,0.0076,0.0583,-0.0344,-0.011383333,0.013016667,0.0654,0.098025,0.063783333
,Te,-0.337366667,-0.2696,-0.263391667,-3.9784,-4.1223,-3.9564,-0.321341667,-2.9301,-2.4766,-0.171583333,-0.13565,-0.128308333,-1.7055,-1.7456,-1.7759,-0.160725,-0.172791667,-1.5154,-1.7225,-0.29755,-0.032108333,-0.134125,0.091341667,-0.0411
,Total,-0.447808333,-0.364141667,-0.349375,-5.2693,-4.5686,-4.373,-0.350191667,-2.8086,-2.2435,-0.151116667,-0.11615,-0.110725,-1.5137,-1.5573,-1.5891,-0.14535,-0.165191667,-1.4571,-1.7569,-0.308933333,-0.019091667,-0.068725,0.189366667,0.022683333
,Cr,-0.110441667,-0.094541667,-0.085983333,-1.2909,-0.4463,-0.4166,-0.02885,0.1215,0.2331,0.020466667,0.0195,0.017583333,0.1918,0.1883,0.1868,0.015375,0.0076,0.0583,-0.0344,-0.011383333,0.013016667,0.0654,0.098025,0.063783333
,Te,-0.337366667,-0.2696,-0.263391667,-3.9784,-4.1223,-3.9564,-0.321341667,-2.9301,-2.4766,-0.171583333,-0.13565,-0.128308333,-1.7055,-1.7456,-1.7759,-0.160725,-0.172791667,-1.5154,-1.7225,-0.29755,-0.032108333,-0.134125,0.091341667,-0.0411
,Total,-0.447808333,-0.364141667,-0.349375,-5.2693,-4.5686,-4.373,-0.350191667,-2.8086,-2.2435,-0.151116667,-0.11615,-0.110725,-1.5137,-1.5573,-1.5891,-0.14535,-0.165191667,-1.4571,-1.7569,-0.308933333,-0.019091667,-0.068725,0.189366667,0.022683333
,,-1.3253,-1.1345,-1.0318,-1.2909,-0.4463,-0.4166,-0.3462,0.1215,0.2331,0.2456,0.234,0.211,0.1918,0.1883,0.1868,0.1845,0.0912,0.0583,-0.0344,-0.1366,0.1562,0.7848,1.1763,0.7654
,,-4.0484,-3.2352,-3.1607,-3.9784,-4.1223,-3.9564,-3.8561,-2.9301,-2.4766,-2.059,-1.6278,-1.5397,-1.7055,-1.7456,-1.7759,-1.9287,-2.0735,-1.5154,-1.7225,-3.5706,-0.3853,-1.6095,1.0961,-0.4932
,,-5.3737,-4.3697,-4.1925,-5.2693,-4.5686,-4.373,-4.2023,-2.8086,-2.2435,-1.8134,-1.3938,-1.3287,-1.5137,-1.5573,-1.5891,-1.7442,-1.9823,-1.4571,-1.7569,-3.7072,-0.2291,-0.8247,2.2724,0.2722
,,,,,,,,,,,,,,,,,,,,,,,,,
最后值,Strain (%),-10,-8,-6,-5.5,-5,-4.5,-4,-3.5,-3,-2,0,2,3.2,3.4,3.6,4,6,7,7.5,8,10,12,14,16
,Cr,-1.3253,-1.1345,-1.0318,-1.2909,-0.4463,-0.4166,-0.3462,0.1215,0.2331,0.2456,0.234,0.211,0.1918,0.1883,0.1868,0.1845,0.0912,0.0583,-0.0344,-0.1366,0.1562,0.7848,1.1763,0.7654
,Te,-4.0484,-3.2352,-3.1607,-3.9784,-4.1223,-3.9564,-3.8561,-2.9301,-2.4766,-2.059,-1.6278,-1.5397,-1.7055,-1.7456,-1.7759,-1.9287,-2.0735,-1.5154,-1.7225,-3.5706,-0.3853,-1.6095,1.0961,-0.4932
,Total,-5.3737,-4.3697,-4.1925,-5.2693,-4.5686,-4.373,-4.2023,-2.8086,-2.2435,-1.8134,-1.3938,-1.3287,-1.5137,-1.5573,-1.5891,-1.7442,-1.9823,-1.4571,-1.7569,-3.7072,-0.2291,-0.8247,2.2724,0.2722
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
bond-angle,,,,,,,,,,,,,,,,,,,,,,,,,
,strain,-10,-8,-6,-4,-2,0,2,4,6,8,10,,,,,,,,,,,,,
angle,Cr-Te-Cr,75.0296,76.7794,77.8807,80.3713,82.1119,83.849,85.4587,86.9786,88.991,91.0902,93.7234,,,,,,,,,,,,,
bond,Cr-Te,2.67432,2.68075,2.70623,2.69217,2.69989,2.70825,2.72017,2.73452,2.73675,2.73788,2.72756,,,,,,,,,,,,,
bond,Cr-Cr,3.25716,3.32954,3.40192,3.4743,3.54668,3.61906,3.69145,3.76383,3.83621,3.90859,3.98097,,,,,,,,,,,,,
